,model_raise,model_check,model_fold,mcts_raise,mcts_check,mcts_fold
36,0.54,0.39,0.07,0.5582599183406138,0.0,0.4417400816593862
37,0.78,0.15,0.07,0.24915365958792843,0.49663472762966193,0.25421161278240956
38,0.54,0.39,0.07,0.40888082793441577,0.32575254711799334,0.2653666249475909
39,0.5608333333333333,0.3791666666666667,0.06,0.23068613386451878,0.15505253936841246,0.6142613267670688
40,0.54,0.39,0.07,0.40000424911041615,0.3628610791614303,0.23713467172815358
41,0.47,0.35,0.18,0.4093489701815557,0.3280443539718834,0.2626066758465609
42,0.47,0.35,0.18,0.0,0.16353837553543205,0.8364616244645681
43,0.7366666666666666,0.23333333333333336,0.03,0.3498018967294335,0.3400616238544362,0.31013647941613015
44,0.76,0.24,0.0,0.2763894054426647,0.5628232490291208,0.16078734552821441
45,0.57,0.365,0.065,0.35141152350844373,0.3333484088009912,0.3152400676905652
46,0.7566666666666666,0.20333333333333337,0.04,0.30274181903798997,0.3547040942562056,0.3425540867058043
47,0.79,0.2,0.01,0.4101335597051067,0.41183530055417966,0.17803113974071363
48,0.88,0.12,0.0,0.10626668433532978,0.0,0.8937333156646703
49,0.52,0.48,0.0,0.4229246791798629,0.2744243993085768,0.30265092151156037
50,0.54,0.45,0.01,0.41766993940833563,0.2962289024128419,0.28610115817882253
51,0.54,0.45,0.01,0.0,0.4781586637098237,0.5218413362901764
52,0.58,0.42,0.0,0.2894935356247727,0.1952573519057345,0.5152491124694929
53,0.6375,0.3425,0.02,0.21680461701832698,0.3859079669581168,0.3972874160235562
54,0.56,0.39,0.05,0.19459413489409272,0.5383874995728174,0.26701836553308994
55,0.6966666666666665,0.2733333333333333,0.03,0.6432656225131589,0.16550234169439806,0.1912320357924429
56,0.7609999999999999,0.239,0.0,0.16425110918908994,0.1529003799714273,0.6828485108394827
57,0.54,0.39,0.07,0.3497853252066388,0.3042719322968774,0.34594274249648377
58,0.71,0.26,0.03,0.5954912595193048,0.0,0.4045087404806951
59,0.55,0.45,0.0,0.46089187580468033,0.3496010314085377,0.18950709278678193
60,0.6125,0.3575,0.03,0.41613524878362174,0.0,0.5838647512163783
61,0.72,0.28,0.0,0.37271860277485913,0.38533000627063485,0.24195139095450605
62,0.555,0.405,0.04,0.36728008877800367,0.43675199517776636,0.19596791604423
63,0.55,0.35,0.1,0.18145074543420622,0.12865774707861424,0.6898915074871795
64,0.5,0.5,0.0,0.3572536129501588,0.44733611357858927,0.19541027347125198
65,0.59,0.4,0.01,0.3510097161642021,0.3325215185391904,0.31646876529660745
66,0.59,0.4,0.01,0.5133616877391654,0.23746226498823914,0.24917604727259557
67,0.78,0.21,0.01,0.0,0.9701827805445825,0.029817219455417508
68,0.5033333333333334,0.3866666666666667,0.11,0.33491974723135703,0.4830319313554922,0.18204832141315072
69,0.51,0.38,0.11,0.6716972511047605,0.13358507491645857,0.1947176739787809
70,0.51,0.38,0.11,0.5532992785690133,0.2132655210495988,0.23343520038138782
71,0.59,0.41,0.0,0.8597570118765581,0.06104694910913121,0.0791960390143108
72,0.63,0.37,0.0,0.0014744431255527526,0.0024573452320426356,0.9960682116424046
73,0.55,0.37,0.08,0.3425836288256214,0.39391750663364744,0.26349886454073107
74,0.49,0.51,0.0,0.45040036429145897,0.21417702759915094,0.3354226081093901
75,0.65,0.32,0.03,0.3516422507920257,0.34276237928591474,0.30559536992205955
76,0.7816666666666666,0.18833333333333335,0.03,0.3669691764469309,0.4109160491626611,0.2221147743904081
77,0.5291666666666667,0.39083333333333337,0.08,0.27177364653019553,0.4499985469503789,0.2782278065194256
78,0.53,0.39,0.08,0.3562291362060308,0.3010277137066139,0.34274315008735534
79,0.74,0.22,0.04,0.43805151734984965,0.28548263139282,0.27646585125733036
80,0.43,0.57,0.0,0.34873516011775435,0.21679970802601103,0.43446513185623453
81,0.72,0.28,0.0,0.2594745269973737,0.26580659152450475,0.4747188814781215
82,0.5266666666666667,0.34333333333333327,0.13,0.25229822652353734,0.2064530794546108,0.5412486940218518
83,0.57,0.38,0.05,0.3413577559706786,0.3108743902149838,0.3477678538143375
84,0.44,0.51,0.05,0.36882431683249767,0.3234186783802239,0.3077570047872784
85,0.83,0.11,0.06,0.24611641660020053,0.02844843644289376,0.7254351469569057
86,0.47833333333333333,0.41166666666666674,0.11,0.1643033203664765,0.14278513422467698,0.6929115454088466
87,0.55,0.3436666666666667,0.10633333333333335,0.32214938964914025,0.3213271297673486,0.3565234805835111
88,0.6733333333333333,0.32666666666666666,0.0,0.14592923991598633,0.1653759820076652,0.6886947780763485
89,0.73,0.24,0.03,0.2467389563473173,0.5584073624969346,0.19485368115574817
90,0.846,0.15,0.004,0.6503410234564481,0.0,0.349658976543552
91,0.75,0.19,0.06,0.47940808376719113,0.0,0.5205919162328089
92,0.54,0.34,0.12,0.34083906357197286,0.37389367714789246,0.28526725928013474
93,0.51,0.31,0.18,0.3732387324349163,0.31720238018607627,0.3095588873790075
94,0.8,0.15,0.05,0.46411149540044055,0.09150711120248996,0.44438139339706956
95,0.69,0.31,0.0,0.45060518929758486,0.19319609652072994,0.3561987141816852
96,0.71,0.29,0.0,0.6525550252507072,0.14944499109310014,0.19799998365619276
97,0.66,0.31,0.03,1.0,0.0,0.0
98,0.67,0.29,0.04,1.0,0.0,0.0
99,0.7366666666666666,0.2333333333333333,0.03,0.36003271308283624,0.29620942177537707,0.3437578651417867
100,0.7466666666666667,0.2533333333333333,0.0,0.17426418034292643,0.45313528452713,0.37260053512994357
101,0.59,0.37,0.04,0.18094568975768718,0.18839510124683093,0.630659208995482
102,0.8225,0.1475,0.03,0.49951365980245077,0.28444445329211965,0.21604188690542958
103,0.7975,0.2025,0.0,0.5908089212774525,0.0,0.4091910787225474
104,0.695,0.285,0.02,0.4973436440015687,0.0,0.5026563559984313
105,0.76,0.24,0.0,0.2215790839914043,0.2272518028105355,0.5511691131980602
106,0.59,0.29600000000000004,0.114,0.2480996973945619,0.1609652827678913,0.5909350198375468
107,0.565,0.37,0.065,0.2713424122947121,0.1532329034906188,0.5754246842146692
108,0.65,0.29100000000000004,0.059000000000000004,0.3404582390925621,0.32980112682669926,0.3297406340807387
109,0.5,0.38,0.12,0.30351687715509196,0.31308233104673877,0.3834007917981694
110,0.5,0.38,0.12,0.3595557811560654,0.2851337547067567,0.3553104641371778
111,0.7425,0.1875,0.07,0.33281003017234295,0.3429611856478134,0.32422878417984363
112,0.72,0.25,0.03,0.3619123249882658,0.33088343912485874,0.3072042358868754
113,0.7316666666666666,0.2683333333333333,0.0,0.26482600305022297,0.21467148454759655,0.5205025124021805
114,0.48,0.4,0.12,0.42636323514432073,0.23105669453571695,0.34258007031996235
115,0.65,0.35,0.0,0.6521189222479569,0.05960858486140888,0.28827249289063434
116,0.7020238095238095,0.22797619047619047,0.07,0.29154467079126356,0.41034484229996643,0.29811048690877
117,0.8333333333333335,0.16166666666666665,0.005,0.784445616443446,0.0,0.21555438355655396
118,0.8333333333333335,0.14666666666666667,0.02,0.5870205618717123,0.0,0.4129794381282877
119,0.6716666666666665,0.31833333333333336,0.01,0.5677279375366011,0.0,0.43227206246339894
120,0.65,0.27,0.08,0.58297593839673,0.0,0.41702406160327
121,0.7340000000000001,0.226,0.04,0.0,0.0,0.0
122,0.76,0.24,0.0,0.32495804641924014,0.3194185944474612,0.3556233591332986
123,0.7366666666666666,0.2333333333333333,0.03,0.4883537346394339,0.2815088987521768,0.23013736660838935
124,0.7466666666666667,0.2533333333333333,0.0,0.2817907122029437,0.19329622393582518,0.5249130638612312
125,0.53,0.385,0.085,0.41632792915223454,0.2886434238364177,0.2950286470113478
126,0.56,0.44,0.0,0.2733926850754173,0.2932269949726927,0.4333803199518899
127,0.54,0.33,0.13,0.3890687857421419,0.4037872235676474,0.20714399069021072
128,0.77,0.23,0.0,0.5544536088974328,0.12280689816182827,0.3227394929407388
129,0.6275,0.3025,0.07,0.33464813638219815,0.3700210109791114,0.29533085263869047
130,0.5283333333333333,0.3916666666666667,0.08,0.3224822432800141,0.355791448474605,0.32172630824538084
131,0.57,0.43,0.0,0.16968584546617277,0.15453937177180757,0.6757747827620196
132,0.58,0.37,0.05,0.22448829926121366,0.0,0.7755117007387863
133,0.495,0.465,0.04,0.3146909911653308,0.2759544099763896,0.40935459885827963
134,0.58,0.42,0.0,0.2765732028818708,0.45065325511182236,0.2727735420063068
135,0.6125,0.3275,0.06,0.5695418915154443,0.26621142122794056,0.16424668725661512
136,0.6125,0.3275,0.06,0.32319567086697126,0.30808542361455393,0.3687189055184748
137,0.54,0.365,0.095,0.3699832752414105,0.3471887238420922,0.28282800091649735
138,0.9,0.07,0.03,0.32768951957629394,0.3367189040242825,0.3355915763994235
139,0.58,0.34,0.08,0.1240870222039816,0.21715228524556032,0.6587606925504581
140,0.59,0.37,0.04,0.31227556847208215,0.3045661549299995,0.3831582765979184
141,0.52,0.35,0.13,0.7650224100751829,0.1838113783115724,0.05116621161324463
142,0.54,0.33,0.13,0.34029242960092565,0.4839062180328414,0.17580135236623295
143,0.48333333333333334,0.40666666666666673,0.11,0.29984329425779427,0.44059424168584055,0.25956246405636524
144,0.58,0.34,0.08,0.42015995270958856,0.14925679111949533,0.43058325617091603
145,0.48,0.4,0.12,0.3259319791183385,0.4105593218970231,0.26350869898463836
146,0.9,0.06,0.04,0.5115995328223145,0.2389072914951342,0.24949317568255128
147,0.7666666666666666,0.22333333333333333,0.01,0.2802448397967638,0.31000876211523826,0.40974639808799795
148,0.46,0.48,0.06,0.3406420010904342,0.3341712497466974,0.3251867491628685
149,0.6296904761904762,0.3003095238095238,0.07,0.2761019554566791,0.30500506352975293,0.418892981013568
150,0.63,0.34,0.03,0.24084836730360196,0.20637576292238122,0.5527758697740168
