timestep,reward
0,0.0975
10,0.088
20,0.109
30,0.073
40,0.0715
50,0.157
60,0.057
70,0.082
80,0.085
90,0.039
100,0.033
110,0.0255
120,0.0655
130,0.0295
140,0.1635
150,0.046
160,0.057
170,0.0375
180,0.186
190,0.1155
200,0.0755
210,0.034
220,0.056
230,0.1045
240,0.1235
