timestep,reward
0,0.164
10,0.0535
20,0.244
30,0.185
40,0.1325
50,0.0455
60,0.1985
70,0.1405
80,0.162
90,0.164
100,0.133
110,0.0775
120,0.208
130,0.0045
140,0.087
150,0.021
160,0.154
170,0.24
180,0.346
190,0.1075
200,0.081
210,0.0615
220,0.098
230,0.031
240,0.0915
