timestep,reward
0,0.114
10,-0.034
20,0.211
30,0.115
40,0.201
50,0.1175
60,0.1385
70,0.074
80,0.1145
90,0.215
100,-0.0025
110,0.1295
120,0.1345
130,0.1055
140,0.1045
150,0.111
160,0.153
170,0.2255
180,0.2145
190,0.2355
200,0.08
210,0.139
220,0.111
230,0.026
240,0.11
