,model_raise,model_check,model_fold,mcts_raise,mcts_check,mcts_fold
0,0.51,0.44,0.05,0.21668617673851684,0.20269576040808562,0.5806180628533977
1,0.46,0.47,0.07,0.3770071405065544,0.31157786808288174,0.3114149914105639
2,0.58,0.36,0.06,0.0,0.5694197984335393,0.43058020156646065
3,0.39916666666666667,0.4308333333333333,0.17,0.35160996427732955,0.2770696525760852,0.3713203831465852
4,0.53,0.35,0.12,0.316927302127098,0.37332447522489437,0.3097482226480076
5,0.51,0.38,0.11,0.463345224930591,0.27309720474340593,0.2635575703260031
6,0.8,0.2,0.0,0.305329565002352,0.3499801033468971,0.3446903316507508
7,0.51,0.31,0.18,0.4251469227237963,0.3069562273233477,0.267896849952856
8,0.82,0.18,0.0,0.3588610307019233,0.344427102008395,0.2967118672896815
9,0.5,0.46,0.04,0.36599619804980854,0.34011874814496545,0.293885053805226
10,0.7609999999999999,0.209,0.03,0.49837264883768406,0.27319792167782203,0.22842942948449396
11,0.6076666666666666,0.374,0.018333333333333333,0.5200780743810652,0.2307261186054062,0.2491958070135285
12,0.47083333333333327,0.43416666666666665,0.095,0.0,0.15769602282565007,0.8423039771743499
13,0.55,0.43,0.02,0.3559398215200874,0.3213783704568618,0.3226818080230508
14,0.75,0.22,0.03,0.5496302328775277,0.22642683816476045,0.2239429289577119
15,0.816,0.154,0.03,0.4658285565268989,0.31535864275406383,0.21881280071903722
16,0.7343333333333334,0.26566666666666666,0.0,0.40131370671880107,0.2739493354847932,0.32473695779640577
17,0.84,0.13,0.03,0.1288180650899577,0.12738784207266562,0.7437940928373766
18,0.55,0.33,0.12,0.13243773647515264,0.7295469493115931,0.13801531421325425
19,0.6,0.305,0.095,0.18000315928421406,0.1819739892764595,0.6380228514393265
20,0.56,0.32,0.12,0.4542708262509422,0.2341797522353064,0.3115494215137514
21,0.91,0.06,0.03,0.23610519864191715,0.5320427031369233,0.23185209822115954
22,0.58,0.335,0.085,0.4332427082322732,0.31690219448720647,0.24985509728052024
23,0.6941666666666666,0.23583333333333337,0.07,0.2180578657534653,0.0,0.7819421342465347
24,0.49,0.51,0.0,0.17001103251360308,0.17806066804425147,0.6519282994421455
25,0.54,0.33,0.13,0.1377082990777398,0.1355163450745911,0.7267753558476691
26,0.5833333333333334,0.36666666666666664,0.05,0.4000853203716855,0.3541864994591954,0.24572818016911913
27,0.88,0.12,0.0,0.1649244998945363,0.6750347305656774,0.16004076953978635
28,0.7301960784313725,0.25980392156862747,0.01,0.1082409486492361,0.0,0.8917590513507639
29,0.54,0.34,0.12,0.18852266052957842,0.1918003419069927,0.6196769975634289
30,0.54,0.43,0.03,0.3798650905266164,0.2863621058121101,0.3337728036612736
31,0.81,0.11,0.08,0.25917172394736404,0.2719734340426228,0.46885484201001315
32,0.8733333333333333,0.09666666666666666,0.03,0.3862792445762484,0.3004309062593739,0.3132898491643778
33,0.79,0.17,0.04,0.4207798941879163,0.2958240024717709,0.2833961033403127
34,0.76,0.21,0.03,0.2969312870544287,0.4294337759511995,0.2736349369943718
35,0.54,0.39,0.07,0.3440966756078989,0.33799295873017565,0.3179103656619254
36,0.5608333333333333,0.3791666666666667,0.06,0.16245946175168346,0.16034164567461323,0.6771988925737032
37,0.54,0.39,0.07,0.30454501391097394,0.4175400829875598,0.2779149031014663
38,0.61,0.29,0.1,0.4146423822090592,0.29863481765255717,0.28672280013838364
39,0.61,0.29,0.1,0.3014864271190918,0.4897957747617622,0.20871779811914604
40,0.7366666666666666,0.23333333333333336,0.03,0.0,0.16096580543033334,0.8390341945696667
41,0.89,0.08,0.03,0.3923364348496499,0.33440303652835335,0.2732605286219968
42,0.7566666666666666,0.20333333333333337,0.04,0.429523952177666,0.26065774725895713,0.30981830056337684
43,0.89,0.11,0.0,0.2117295200189099,0.22926131530932756,0.5590091646717626
44,0.52,0.48,0.0,0.1586091078348352,0.16083722171430095,0.6805536704508638
45,0.58,0.42,0.0,0.41542888432148517,0.36242512672157656,0.22214598895693818
46,0.6375,0.3425,0.02,0.37443230589076815,0.4038761253191795,0.22169156879005225
47,0.56,0.39,0.05,0.3184165097971939,0.3410973409311964,0.34048614927160964
48,0.6966666666666665,0.2733333333333333,0.03,0.3608977367539171,0.34372146067547443,0.2953808025706085
49,0.7609999999999999,0.239,0.0,0.4084357692766416,0.35549960541142317,0.23606462531193528
50,0.79,0.2,0.01,0.3321967900785191,0.3555808986475079,0.3122223112739728
51,0.54,0.39,0.07,0.3476255749779576,0.2647283370470221,0.3876460879750203
52,0.71,0.26,0.03,0.3576832685173472,0.37262506539473783,0.26969166608791484
53,0.82,0.17,0.01,0.3539808858196717,0.33947708658561876,0.3065420275947096
54,0.555,0.405,0.04,0.3411362616136519,0.3342154162019618,0.32464832218438633
55,0.4,0.43,0.17,0.3200146671406895,0.2795206379064342,0.40046469495287623
56,0.5,0.5,0.0,0.40413951982787094,0.28869032103645226,0.30717015913567675
57,0.59,0.4,0.01,0.24379113658094287,0.520159101424815,0.236049761994242
58,0.5033333333333334,0.3866666666666667,0.11,0.15222297253910677,0.11840276167752803,0.7293742657833653
59,0.55,0.37,0.08,0.3230708458903405,0.3642941095485427,0.31263504456111674
60,0.49,0.51,0.0,0.31882520263979286,0.37353252843543483,0.3076422689247723
61,0.48,0.41,0.11,0.16441859668166559,0.19958176578631268,0.6359996375320218
62,0.5116666666666666,0.3683333333333333,0.12,0.4394750050119633,0.24211173204610167,0.31841326294193495
63,0.5291666666666667,0.39083333333333337,0.08,0.22882368311854664,0.24225367553576413,0.5289226413456893
64,0.53,0.39,0.08,0.41453741134068567,0.3108024693524461,0.2746601193068683
65,0.74,0.22,0.04,0.3678117755924866,0.29465881417068424,0.3375294102368291
66,0.43,0.57,0.0,0.3226911853837138,0.360495296306589,0.31681351830969723
67,0.715,0.285,0.0,0.7333909363168145,0.0,0.2666090636831855
68,0.86,0.14,0.0,0.3651126258537935,0.38141492685374473,0.2534724472924617
69,0.789,0.21100000000000002,0.0,0.0,0.0,0.0
70,0.74,0.25,0.01,0.0,0.0,0.0
71,0.72,0.28,0.0,0.38858884169607527,0.28848871454675823,0.3229224437571665
