timestep,reward
0,0.1645
10,0.066
20,0.2415
30,-0.0675
40,0.191
50,0.028
60,0.2205
70,0.1325
80,0.0935
90,0.1495
100,0.0685
110,0.0985
120,0.168
130,0.0445
140,0.166
150,0.1055
160,0.129
170,0.1575
180,0.183
190,0.0985
200,0.1315
210,0.029
220,0.0995
230,0.0115
240,0.111
